"","x"
"1047","PPM1J"
"1048","FAM19A3"
"1049","LINC01356"
"1050","AL390729.1"
"1051","SLC16A1"
"1052","SLC16A1-AS1"
"1053","AL357055.3"
"1054","LRIG2"
"1055","MAGI3"
"1056","PHTF1"
"1057","RSBN1"
"1058","PTPN22"
"1059","AP4B1-AS1"
"1060","BCL2L15"
"1061","AP4B1"
"1062","DCLRE1B"
"1063","HIPK1-AS1"
"1064","HIPK1"
"1065","OLFML3"
"1066","SYT6"
"1067","TRIM33"
"1068","BCAS2"
"1069","DENND2C"
"1070","NRAS"
"1071","CSDE1"
"1072","SIKE1"
"1073","TSPAN2"
"1074","NGF"
"1075","VANGL1"
"1076","NHLH2"
"1077","SLC22A15"
"1078","MAB21L3"
"1079","ATP1A1"
"1080","CD58"
"1081","IGSF3"
"1082","PTGFRN"
"1083","CD101"
"1084","AL445231.1"
"1085","TTF2"
"1086","TRIM45"
"1087","AL358072.1"
"1088","MAN1A2"
"1089","TENT5C"
"1090","GDAP2"
"1091","WDR3"
"1092","SPAG17"
"1093","TBX15"
"1094","WARS2"
"1095","WARS2-IT1"
"1096","AL359915.2"
"1097","ZNF697"
"1098","PHGDH"
"1099","ADAM30"
"1100","NOTCH2"
"1101","AC245008.1"
"1102","SEC22B"
"1103","NBPF26"
"1104","LINC00623"
"1105","FCGR1B"
"1106","AC244453.2"
"1107","FAM72B"
"1108","SRGAP2C"
"1109","SRGAP2-AS1"
"1110","AC244021.1"
"1111","AC239800.2"
"1112","AC239800.3"
"1113","AC239798.2"
"1114","FAM72C"
"1115","AC245595.1"
"1116","AC246785.3"
"1117","NBPF15"
"1118","FP700111.1"
"1119","SRGAP2B"
"1120","FAM72D"
"1121","AC245014.3"
"1122","AC245014.1"
"1123","NBPF20"
"1124","GPR89A"
"1125","PDZK1"
"1126","CD160"
"1127","RNF115"
"1128","POLR3C"
"1129","NUDT17"
"1130","PIAS3"
"1131","ANKRD35"
"1132","ITGA10"
"1133","PEX11B"
"1134","RBM8A"
"1135","LIX1L-AS1"
"1136","LIX1L"
